PS_manual_aug_str,SD
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CC(C)O,20.51
CCCCCOCCCCOCCCCCO.CNCCCCCCCCCCCC=O.CC(C)O,20.51
CC.CCC#N.CC(C)O,0.0
CCC#N.CC.CC(C)O,0.0
CO.c1ccccc1.O=S=O.Cc1ccccc1.CC(C)O,2.28
Cc1ccccc1.CO.c1ccccc1.O=S=O.CC(C)O,2.28
O=S=O.Cc1ccccc1.CO.c1ccccc1.CC(C)O,2.28
c1ccccc1.O=S=O.Cc1ccccc1.CO.CC(C)O,2.28
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CC(C)O,1.61
Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.CC(C)O,1.61
CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CC(C)O,1.61
c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.CC(C)O,1.61
O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.CC(C)O,1.61
c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.CC(C)O,1.61
O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.CC(C)O,1.61
c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.CC(C)O,1.61
CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CC(C)O,5.22
Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.CC(C)O,5.22
c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.CC(C)O,5.22
O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.CC(C)O,5.22
C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.CC(C)O,5.22
CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CC(C)O,1.12
Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.CC(C)O,1.12
O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.CC(C)O,1.12
O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.CC(C)O,1.12
c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.CC(C)O,1.12
CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CC(C)O,1.12
c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.CC(C)O,1.12
O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.CC(C)O,1.12
CCC.CC[Si](C)(C)C.CCO,15.13
CC[Si](C)(C)C.CCC.CCO,15.13
C[Si](C)C.CO.CCO,3.6
CO.C[Si](C)C.CCO,3.6
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCO,12.29
CCCCCOCCCCOCCCCCO.CNCCCCCCCCCCCC=O.CCO,12.29
CO.c1ccccc1.O=S=O.Cc1ccccc1.CCO,2.76
Cc1ccccc1.CO.c1ccccc1.O=S=O.CCO,2.76
O=S=O.Cc1ccccc1.CO.c1ccccc1.CCO,2.76
c1ccccc1.O=S=O.Cc1ccccc1.CO.CCO,2.76
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CCO,2.28
Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.CCO,2.28
CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCO,2.28
c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.CCO,2.28
O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.CCO,2.28
c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.CCO,2.28
O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.CCO,2.28
c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.CCO,2.28
