"Polymer_manual_aug_str,T_K,P_Mpa",exp_CO2_sol_g_g
C.CO.C.C.C.C.O.C=O.C.C.C=O|453.15|2.133|,0.01192
C=O.C.CO.C.C.C.C.O.C=O.C.C|453.15|2.133|,0.01192
C.C=O.C.CO.C.C.C.C.O.C=O.C|453.15|2.133|,0.01192
C.C.C=O.C.CO.C.C.C.C.O.C=O|453.15|2.133|,0.01192
C=O.C.C.C=O.C.CO.C.C.C.C.O|453.15|2.133|,0.01192
O.C=O.C.C.C=O.C.CO.C.C.C.C|453.15|2.133|,0.01192
C.O.C=O.C.C.C=O.C.CO.C.C.C|453.15|2.133|,0.01192
C.C.O.C=O.C.C.C=O.C.CO.C.C|453.15|2.133|,0.01192
C.C.C.O.C=O.C.C.C=O.C.CO.C|453.15|2.133|,0.01192
C.C.C.C.O.C=O.C.C.C=O.C.CO|453.15|2.133|,0.01192
CO.C.C.C.C.O.C=O.C.C.C=O.C|453.15|2.798|,0.01566
C.CO.C.C.C.C.O.C=O.C.C.C=O|453.15|2.798|,0.01566
C=O.C.CO.C.C.C.C.O.C=O.C.C|453.15|2.798|,0.01566
C.C=O.C.CO.C.C.C.C.O.C=O.C|453.15|2.798|,0.01566
C.C.C=O.C.CO.C.C.C.C.O.C=O|453.15|2.798|,0.01566
C=O.C.C.C=O.C.CO.C.C.C.C.O|453.15|2.798|,0.01566
O.C=O.C.C.C=O.C.CO.C.C.C.C|453.15|2.798|,0.01566
C.O.C=O.C.C.C=O.C.CO.C.C.C|453.15|2.798|,0.01566
C.C.O.C=O.C.C.C=O.C.CO.C.C|453.15|2.798|,0.01566
C.C.C.O.C=O.C.C.C=O.C.CO.C|453.15|2.798|,0.01566
C.C.C.C.O.C=O.C.C.C=O.C.CO|453.15|2.798|,0.01566
CO.C.C.C.C.O.C=O.C.C.C=O.C|453.15|4.627|,0.02604
C.CO.C.C.C.C.O.C=O.C.C.C=O|453.15|4.627|,0.02604
C=O.C.CO.C.C.C.C.O.C=O.C.C|453.15|4.627|,0.02604
C.C=O.C.CO.C.C.C.C.O.C=O.C|453.15|4.627|,0.02604
C.C.C=O.C.CO.C.C.C.C.O.C=O|453.15|4.627|,0.02604
C=O.C.C.C=O.C.CO.C.C.C.C.O|453.15|4.627|,0.02604
O.C=O.C.C.C=O.C.CO.C.C.C.C|453.15|4.627|,0.02604
C.O.C=O.C.C.C=O.C.CO.C.C.C|453.15|4.627|,0.02604
C.C.O.C=O.C.C.C=O.C.CO.C.C|453.15|4.627|,0.02604
C.C.C.O.C=O.C.C.C=O.C.CO.C|453.15|4.627|,0.02604
C.C.C.C.O.C=O.C.C.C=O.C.CO|453.15|4.627|,0.02604
CO.C.C.C.C.O.C=O.C.C.C=O.C|453.15|8.037|,0.04534
C.CO.C.C.C.C.O.C=O.C.C.C=O|453.15|8.037|,0.04534
